gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
107,False,False,1,0.0466,24.0,2.5,0.95,36.7164,0.0,0.6576
108,False,True,1,0.0043,24.5,2.8,1.0,4.7818,0.8333,0.664
109,True,False,2,0.9935,137.5,2.9,0.9108,17.8509,0.0,0.5381
110,True,False,2,0.9935,129.5,3.1,0.9526,16.2509,0.0,0.7848
111,True,False,2,0.9921,140.5,3.4,0.9457,14.735,0.0606,0.6647
112,True,False,2,0.9938,112.0,3.3,0.9871,17.1592,0.0,0.7215
113,True,False,2,0.9935,184.8,3.4,0.9904,18.5074,0.0,0.8488
114,True,False,2,0.9935,138.8,3.1,0.966,20.0278,0.0,0.7335
115,True,False,2,0.9952,90.8,3.4,0.5976,17.3196,0.0,0.7286
116,True,True,2,0.9927,122.8,3.0,0.9941,17.5232,0.0,0.6485
117,True,False,2,0.9939,144.0,2.8,0.9851,15.4529,0.0,0.6232
118,True,False,2,0.9934,112.5,3.4,0.9183,18.9164,0.0244,0.6545
119,True,False,2,0.9924,128.0,2.6,0.8754,16.6445,0.0,0.611
120,True,False,2,0.993,152.2,2.7,0.9953,17.6399,0.0,0.7318
121,False,False,2,0.0434,26.0,10.0,0.7867,3.0476,0.069,0.4973
122,True,False,2,0.9953,108.2,3.2,0.8464,17.3669,0.0,0.5752
123,True,False,2,0.9925,108.5,2.8,0.8073,18.5625,0.0,0.6566
124,True,False,2,0.9896,139.0,3.3,0.9021,17.6206,0.0455,0.4295
125,False,False,1,0.1241,41.5,2.7,1.0,41.1444,0.0,0.7557
126,True,False,2,0.9924,130.0,3.3,0.8067,17.404,0.069,0.6404
127,True,True,1,0.9522,68.5,3.0,0.9887,15.9873,0.1765,0.644
128,True,False,2,0.9952,102.0,3.6,0.6945,20.9486,0.0286,0.5298
129,True,False,2,0.9935,131.5,3.2,0.9637,17.5988,0.0476,0.5344
130,True,True,2,0.9928,133.2,3.1,0.8729,17.4081,0.0938,0.5882
131,True,False,1,0.9285,77.8,3.3,0.95,17.8584,0.0,0.5854
132,True,False,1,0.9149,45.0,3.6,0.7951,22.8749,0.0303,0.475
133,True,True,2,0.9951,105.2,2.5,0.8522,16.9958,0.0,0.5685
134,True,False,2,0.9928,156.0,3.4,0.8738,21.1281,0.0286,0.6008
135,True,False,2,0.993,182.0,2.5,0.9543,17.4387,0.0,0.6016
136,True,False,2,0.9953,112.2,3.4,0.7822,20.3224,0.0,0.5539
137,True,False,2,0.9934,129.0,3.7,0.9566,17.7151,0.0,0.585
138,True,False,2,0.9937,119.5,3.0,0.9871,18.047,0.0,0.6833
139,True,False,2,0.9927,147.0,3.3,0.9975,18.2141,0.0,0.7143
140,False,False,1,0.1204,24.0,2.4,0.8906,43.9812,0.0571,0.5897
141,True,False,2,0.9928,142.8,3.1,0.9974,17.2466,0.0,0.7346
142,False,False,1,0.1588,41.2,3.0,0.8922,30.265,0.0,0.5156
143,False,False,1,0.5742,48.0,3.5,0.9134,17.5179,0.0,0.4329
144,True,False,2,0.9928,137.2,2.6,0.9351,17.1769,0.0,0.5154
145,False,False,1,0.3874,71.5,2.9,0.99,35.7538,0.0,0.7345
146,False,False,1,0.1521,30.5,2.7,0.939,34.3376,0.0,0.7032
147,True,False,2,0.9935,215.0,3.7,0.9044,18.5265,0.0,0.7332
148,True,False,2,0.9934,161.5,3.3,0.9324,20.5109,0.0286,0.6592
149,True,False,2,0.9935,122.5,3.6,0.9083,18.8244,0.0,0.7821
150,True,False,2,0.9934,117.5,3.6,0.9591,17.4103,0.0606,0.7112
151,True,False,2,0.9934,153.8,3.0,0.9362,15.7646,0.0,0.6957
152,False,True,1,0.0174,32.8,2.5,1.0,24.1263,0.8571,0.8198
153,True,False,2,0.991,93.8,3.6,1.0,20.33,0.0,0.7391
154,False,False,1,0.2277,76.8,2.9,0.9755,33.478,0.0,0.8657
155,True,True,2,0.9939,132.5,2.6,0.9836,15.2465,0.1765,0.7479
156,True,False,1,0.8789,60.0,3.3,0.761,18.4933,0.0,0.6499
157,True,False,2,0.9935,109.2,3.2,0.9582,18.1013,0.0278,0.5627
158,True,True,2,0.9934,98.2,3.9,0.9628,16.5882,0.0909,0.5955
159,True,False,2,0.9908,91.8,2.8,0.8755,19.3031,0.0,0.4979
160,True,False,2,0.9001,81.5,3.1,0.9955,28.9778,0.0,0.8095
161,True,False,2,0.9952,143.0,3.5,0.5651,17.8201,0.0263,0.538
162,True,False,2,0.9935,89.8,3.5,0.9385,17.1058,0.0278,0.7375
163,False,True,1,0.0272,53.0,3.0,1.0,38.9817,0.8387,0.8412
164,False,True,1,0.0063,21.2,3.8,1.0,46.7918,0.8182,0.6201
165,True,False,2,0.9934,98.8,3.3,0.9145,15.6141,0.0,0.6652
166,True,False,2,0.9934,146.8,3.1,0.9559,16.976,0.0357,0.6583
167,True,False,2,0.9932,134.5,2.9,0.9021,18.1248,0.0,0.4495
168,True,True,2,0.9952,135.2,3.2,0.7473,16.7696,0.0,0.7458
169,True,False,2,0.9936,132.8,2.7,0.8928,17.8502,0.0,0.544
